"instance_id","client_name","site_name","region_name","client_region_name","site_region_name","month_date","total_lifetimes","total_user_days_online_this_month","total_users_online_this_month","avg_daily_engagement_score","total_lifetime_days","li_attempts","mission_step_completions","rewards_claimed","rank_completions","sale_submissions","user_referrals","badge_completions","banner_clicks","poll_completions","survey_completions","certification_completions","achievement_completions","community_comments","community_replies","community_likes","snippets_created","snippets_viewed","engagement_score"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-04-01","1922","357","51","4.782627252733743","191664","1364","104","0","12","0","0","76","82","0","0","0","0","11","11","65","7","327","2059"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-12-01","1149","110","28","0.9752525252525253","536321","94","0","1","0","0","0","7","14","14","1","0","0","1","0","9","0","25","166"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-07-01","1453","173","34","1.5616677304177304","614428","139","2","0","1","0","0","8","7","6","0","11","0","2","1","23","0","92","292"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-09-01","741","87","21","0.6076614357864357","471104","19","0","0","4","0","0","5","0","4","0","0","0","12","3","66","0","11","124"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-10-01","728","90","20","1.0165445665445665","493437","48","2","0","1","0","0","5","0","18","0","0","0","8","3","73","0","4","162"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-05-01","3591","87","41","1.4770723104056438","23985","57","0","0","0","0","1","0","28","0","0","0","0","0","0","0","0","31","117"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-03-01","1857","303","45","2.3163812792323406","156174","615","19","0","6","0","0","36","107","11","4","0","0","4","1","21","0","57","881"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-07-01","2102","320","55","3.2512668280026653","321394","1000","64","0","6","0","0","74","48","12","0","0","0","6","1","11","1","172","1395"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-05-01","1996","284","55","2.703919300411571","236721","491","14","0","11","0","0","34","42","6","0","0","0","12","7","85","3","162","867"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-06-01","1538","222","37","4.089796569968984","576793","131","1","0","0","0","0","17","4","4","0","0","0","16","3","85","12","778","1051"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-03-01","653","15","9","1.0833333333333335","10688","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","12"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2023-04-01","52915","2457","998","2.297134360966108","2613587","2874","0","0","0","0","0","779","1877","74","0","0","0","0","0","0","0","0","5604"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2023-05-01","56700","1892","775","3.060036374318074","3066538","3568","0","0","0","0","0","710","1315","64","0","0","0","0","0","0","0","0","5657"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2022-11-01","35806","1572","581","3.0757718291442218","582515","2978","0","0","0","0","0","732","1587","31","0","0","0","0","0","0","0","1","5329"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2024-09-01","49221","1907","752","2.3457727815981433","4921804","3936","0","0","0","0","0","583","598","53","0","0","0","0","0","0","0","0","5170"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2023-01-01","42388","2132","805","3.513850732915685","1493453","4408","0","0","0","0","0","890","1994","122","0","0","0","0","0","0","0","0","7414"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2024-02-01","64455","3590","1287","3.0012635149460056","5317849","8819","0","0","0","0","0","1136","2139","110","0","0","0","0","0","0","0","0","12204"
"F64F26EA13EF9AA82C5E6DEF62B3367A","Roku","Roku",,"Roku","Roku","2024-12-01","4906","361","55","1.3278827885440376","315309","194","1","5","1","0","0","7","232","0","0","1","4","0","0","1","0","58","504"
"F64F26EA13EF9AA82C5E6DEF62B3367A","Roku","Roku",,"Roku","Roku","2025-06-01","31435","1484","323","3.674124024671543","574484","1542","77","772","0","0","185","92","324","0","0","1","546","475","446","1371","0","35","5866"
"0E81473CE89CCD67EB1F97B5C21FBE93","Schneider Electric","Schneider Electric",,"Schneider Electric","Schneider Electric","2024-10-01","22","2","1","0.0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2024-01-01","65872","3810","1215","3.4535273624415557","5279171","10710","0","0","0","0","0","1258","2308","146","0","0","0","0","0","0","0","0","14422"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2024-03-01","73748","3440","1290","3.1429855580106056","6096776","9701","0","0","0","0","0","1260","1636","118","0","0","0","0","0","0","0","0","12715"
"F64F26EA13EF9AA82C5E6DEF62B3367A","Roku","Roku",,"Roku","Roku","2025-01-01","4885","397","56","1.8068179372975641","351464","431","1","3","2","0","0","24","251","0","0","0","2","0","0","0","0","23","737"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2024-04-01","72005","2615","961","2.5108907323077814","6102496","5585","0","0","0","0","0","763","1161","83","0","0","0","0","0","0","0","0","7592"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2023-08-01","47776","2614","1050","3.0396854545168805","3333551","5752","0","0","0","0","0","970","1729","83","0","0","0","0","0","0","0","0","8534"
"525DA5DA30DA296ECB865F394F66CD0D","Marvin","Marvin Learning",,"Marvin","Marvin Learning","2025-02-01","70934","3944","1370","3.3075301516165156","5634166","10155","161","0","0","0","0","1218","1433","0","0","0","0","0","0","0","0","0","12967"
"258F6997FC0B97296DD87B33507B04AD","Halight Energize Retail","Energize Retail",,"Halight Energize Retail","Energize Retail","2025-07-01","14083","1057","176","3.954680576478575","164724","1606","251","140","10","0","52","148","462","40","0","0","99","447","517","389","0","0","4161"
"258F6997FC0B97296DD87B33507B04AD","Halight Energize Retail","Energize Retail",,"Halight Energize Retail","Energize Retail","2025-09-01","10371","1190","152","4.709933500641264","387977","2396","719","53","4","0","13","157","278","1","104","0","28","733","754","310","0","0","5550"
"9A8FD8C12C3B02C592682D22E7681DB9","The Re-Wired Group","The Re-Wired Group",,"The Re-Wired Group","The Re-Wired Group","2025-02-01","584","106","43","1.9520025429116339","5616","135","109","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","274"
